Period: 01/02/2025 to 20/04/2025,,,,,,,
Filter 1: Aggregate Belgian Wind Farms,,,,,,,
Filter 2: Aggregate Belgian Wind Farms,,,,,,,
Filter 3: Aggregate Belgian Wind Farms,,,,,,,
Filter 4: Belgium,,,,,,,
DateTime,Week-ahead Forecast [MW],Day-ahead forecast [MW],Most recent forecast [MW],Measured & upscaled [MW],Monitored Capacity [MW],Active Decremental Bids [yes/no],Day-ahead forecast (11h00) [MW]
01/02/2025 00:00,2016.5,264.8,239.2,257.59,5439.175,No,204.6
01/02/2025 00:15,2012.4,260.3,240.1,242.01,5439.175,No,203.6
01/02/2025 00:30,2006.9,254.1,240.5,221.81,5439.175,No,205
01/02/2025 00:45,2002.4,247.2,241.5,209.58,5439.175,No,205.2
01/02/2025 01:00,1997.1,235.1,247.1,200.89,5439.175,No,201.3
01/02/2025 01:15,1992.5,228.9,247.7,192.3,5439.175,No,201.3
01/02/2025 01:30,1991.1,222.9,246.5,204.66,5439.175,No,198.9
01/02/2025 01:45,1994.1,215,242.5,236.3,5439.175,No,194.9
01/02/2025 02:00,2000.5,205.6,236,246.87,5439.175,No,193
01/02/2025 02:15,2007.7,200.6,232.9,219.58,5439.175,No,190
01/02/2025 02:30,2014.6,193.3,226.9,179.54,5439.175,No,186.4
01/02/2025 02:45,2025.3,185.1,219.7,170.2,5439.175,No,180.2
01/02/2025 03:00,2039.9,175.1,198.6,159.64,5439.175,No,173.9
01/02/2025 03:15,2052.5,168.7,192.4,147.92,5439.175,No,169
01/02/2025 03:30,2063.9,164.4,184.5,139.32,5439.175,No,164.6
01/02/2025 03:45,2076.9,157.8,174.6,133.18,5439.175,No,159.9
01/02/2025 04:00,2094.9,148.9,166.2,143.7,5439.175,No,151.1
01/02/2025 04:15,2106.7,147.6,161.2,169.79,5439.175,No,148.6
01/02/2025 04:30,2119.2,145.2,157.4,187.07,5439.175,No,144.3
01/02/2025 04:45,2130.4,142.6,153.7,188.92,5439.175,No,140.8
01/02/2025 05:00,2142.6,135.1,147.7,185.91,5439.175,No,133.1
01/02/2025 05:15,2152.6,135.8,147.2,201.04,5439.175,No,131.4
01/02/2025 05:30,2164,135.1,145.9,213.04,5439.175,No,129.4
01/02/2025 05:45,2174.8,134.8,141.6,216.91,5439.175,No,125.9
01/02/2025 06:00,2182,134.3,134.1,203.29,5439.175,No,124.3
